std: 0.2, num_epochs500
After the first part of learning: Hidden size: 50, accuracy on pure_set: 82.22, accuracy on perturbed set: 70.32
Hidden size: 50, accuracy on pure_set: 83.82, accuracy on perturbed set: 82.67
After the first part of learning: Hidden size: 100, accuracy on pure_set: 83.49, accuracy on perturbed set: 68.85
Hidden size: 100, accuracy on pure_set: 84.27, accuracy on perturbed set: 83.46
After the first part of learning: Hidden size: 200, accuracy on pure_set: 84.26, accuracy on perturbed set: 72.03
Hidden size: 200, accuracy on pure_set: 85.26, accuracy on perturbed set: 83.87
After the first part of learning: Hidden size: 400, accuracy on pure_set: 83.58, accuracy on perturbed set: 70.85
Hidden size: 400, accuracy on pure_set: 84.79, accuracy on perturbed set: 83.66
After the first part of learning: Hidden size: 800, accuracy on pure_set: 85.23, accuracy on perturbed set: 68.87
Hidden size: 800, accuracy on pure_set: 84.42, accuracy on perturbed set: 83.75
After the first part of learning: Hidden size: 1600, accuracy on pure_set: 84.94, accuracy on perturbed set: 69.53
Hidden size: 1600, accuracy on pure_set: 85.06, accuracy on perturbed set: 83.79
